# x	y	u	v	flags	mask
3.8400e+02	4.3900e+02	3.8789e+01	-1.4300e+01	0.0000e+00	0.0000e+00
4.0500e+02	4.3900e+02	-6.9787e+01	-6.0362e-01	0.0000e+00	0.0000e+00
4.2600e+02	4.3900e+02	-7.5669e+01	-1.8074e+00	0.0000e+00	0.0000e+00
4.4700e+02	4.3900e+02	1.8276e+02	3.8007e+00	0.0000e+00	0.0000e+00
4.6800e+02	4.3900e+02	7.2320e+01	-6.7709e+00	0.0000e+00	0.0000e+00
4.8900e+02	4.3900e+02	-2.4269e+01	-9.4190e-01	0.0000e+00	0.0000e+00
5.1000e+02	4.3900e+02	8.5264e+00	-6.0945e+00	0.0000e+00	0.0000e+00
5.3100e+02	4.3900e+02	6.2788e+01	-2.4922e+00	0.0000e+00	0.0000e+00
5.5200e+02	4.3900e+02	-7.2565e+01	-1.7975e+00	0.0000e+00	0.0000e+00
5.7300e+02	4.3900e+02	-7.6953e+01	-1.1708e+00	0.0000e+00	0.0000e+00
5.9400e+02	4.3900e+02	-8.0233e+01	-1.2982e+00	0.0000e+00	0.0000e+00
6.1500e+02	4.3900e+02	6.3628e+01	-2.6355e-01	0.0000e+00	0.0000e+00
6.3600e+02	4.3900e+02	-6.8504e+01	1.5843e+00	0.0000e+00	0.0000e+00
6.5700e+02	4.3900e+02	5.6453e+01	-3.1289e+01	0.0000e+00	0.0000e+00
6.7800e+02	4.3900e+02	6.9715e+01	-1.0729e+01	0.0000e+00	0.0000e+00
6.9900e+02	4.3900e+02	-7.9457e+00	-1.9856e+01	0.0000e+00	0.0000e+00
7.2000e+02	4.3900e+02	9.9433e+00	-1.1270e+01	0.0000e+00	0.0000e+00
7.4100e+02	4.3900e+02	-6.4749e+01	6.6894e-02	0.0000e+00	0.0000e+00
7.6200e+02	4.3900e+02	-6.2634e+01	-2.3426e+01	0.0000e+00	0.0000e+00
7.8300e+02	4.3900e+02	1.3569e+00	-6.1524e+00	0.0000e+00	0.0000e+00
8.0400e+02	4.3900e+02	6.4034e+00	-3.1557e+01	0.0000e+00	0.0000e+00
8.2500e+02	4.3900e+02	-6.6265e+01	-7.8190e+01	0.0000e+00	0.0000e+00
2.7000e+01	4.1800e+02	7.0554e+00	-7.6328e+01	0.0000e+00	0.0000e+00
4.8000e+01	4.1800e+02	6.7398e+01	8.4766e+01	0.0000e+00	0.0000e+00
6.9000e+01	4.1800e+02	1.2460e+00	8.2535e+01	0.0000e+00	0.0000e+00
9.0000e+01	4.1800e+02	-4.4884e+00	7.6347e+01	0.0000e+00	0.0000e+00
